evaluation_id,evaluation,axis,level,level_index,n,sparse_n_lt_100,xgb_evidentiary_status,neural_evidentiary_status,dlg_mae,xgb_mae,neural_mae,delta_mae_xgb,delta_mae_xgb_ci95_low,delta_mae_xgb_ci95_high,delta_mae_neural,delta_mae_neural_ci95_low,delta_mae_neural_ci95_high,bootstrap_seed_xgb,bootstrap_seed_neural
R01,AqSolDBc OOF,Molecular weight,<250 Da,0,4708,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.4545071337476805,0.4780737465311566,0.5024457714190897,-0.0235666127834761,-0.0295988585769319,-0.017348927304825,-0.0479386376714092,-0.0539938735388422,-0.0417837722929432,20260823,20260824
R01,AqSolDBc OOF,Molecular weight,250--<400 Da,1,2564,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6046864201081513,0.6493411657528081,0.6354648889424337,-0.0446547456446567,-0.0552758081128119,-0.0336544366382468,-0.0307784688342823,-0.0412199700818487,-0.0201601995882117,20260833,20260834
R01,AqSolDBc OOF,Molecular weight,>=400 Da,2,775,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.8771741217630968,0.9306114677332904,0.9352396892963872,-0.0534373459701935,-0.0799001116525837,-0.0271322323734871,-0.0580655675332902,-0.0837956061438806,-0.0322547869454838,20260843,20260844
R01,AqSolDBc OOF,Rotatable bonds,0,3,1242,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5189567026594142,0.5343740142189896,0.5806639120074074,-0.0154173115595753,-0.029395846909356,-0.0011838337169717,-0.0617072093479932,-0.0753372617791747,-0.0477898682329453,20260853,20260854
R01,AqSolDBc OOF,Rotatable bonds,1--4,4,4464,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.48395705025049,0.5171415285431452,0.5232008154663922,-0.0331844782926551,-0.039865404996164,-0.0264659782903866,-0.0392437652159021,-0.0460494088650257,-0.0324471988965561,20260863,20260864
R01,AqSolDBc OOF,Rotatable bonds,>=5,5,2341,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6685677121685605,0.7111035993488253,0.7103393452964545,-0.0425358871802648,-0.0551626041078753,-0.0300292560445307,-0.041771633127894,-0.0537988886459013,-0.0298303065665351,20260873,20260874
R01,AqSolDBc OOF,H-bond donor,no,6,3854,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5174935180050778,0.5564246885444991,0.5584056837534094,-0.0389311705394213,-0.047324064514741,-0.0305959847038863,-0.0409121657483315,-0.0492547452472587,-0.0328488046139399,20260883,20260884
R01,AqSolDBc OOF,H-bond donor,yes,7,4193,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5665693996699761,0.5944300227764572,0.6123448416667148,-0.027860623106481,-0.0354900746613436,-0.0202793218472756,-0.0457754419967386,-0.0531892899539802,-0.0385010556559024,20260893,20260894
R01,AqSolDBc OOF,H-bond acceptor,no,8,856,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.4467616587900701,0.4678515373257009,0.4951676676761682,-0.0210898785356307,-0.0386707308156425,-0.0047449740326576,-0.048406008886098,-0.0642556601977249,-0.0324548900439105,20260903,20260904
R01,AqSolDBc OOF,H-bond acceptor,yes,9,7191,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.554528929395561,0.5891287608401314,0.5973847730167398,-0.0345998314445704,-0.0406387348185747,-0.0286430579841587,-0.0428558436211787,-0.0486896293692516,-0.0370309954036433,20260913,20260914
R01,AqSolDBc OOF,Aromatic ring,no,10,2903,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5102673703434929,0.5417845611443283,0.5565223319694576,-0.0315171908008353,-0.0407178398558269,-0.0225766351839985,-0.0462549616259646,-0.0550741632695808,-0.0375597130592091,20260923,20260924
R01,AqSolDBc OOF,Aromatic ring,yes,11,5144,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5615745208204939,0.5956658736683903,0.6034356719647822,-0.0340913528478964,-0.0411806391883702,-0.0270093220145232,-0.0418611511442883,-0.0488902988212301,-0.0348133401134135,20260933,20260934
R01,AqSolDBc OOF,N-containing heterocycle,no,12,5942,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5214461675166914,0.5522654803298696,0.5663102341918672,-0.0308193128131781,-0.0372215637350615,-0.0245185339833822,-0.0448640666751758,-0.0509488414857253,-0.0386128157312733,20260943,20260944
R01,AqSolDBc OOF,N-containing heterocycle,yes,13,2105,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6040913937404275,0.6438690503715438,0.6435353989197625,-0.0397776566311163,-0.0513168103477637,-0.0278474721732517,-0.0394440051793349,-0.0509673548226211,-0.0280938965648184,20260953,20260954
R01,AqSolDBc OOF,Carboxyl group,no,14,7066,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5411478160750371,0.5749416260865533,0.5848569690520861,-0.0337938100115161,-0.039726220672419,-0.0276877490104013,-0.0437091529770489,-0.0496535637941623,-0.0378165899213609,20260963,20260964
R01,AqSolDBc OOF,Carboxyl group,yes,15,981,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5568756807559301,0.5854926658762486,0.5984282191357135,-0.0286169851203185,-0.0438375572854328,-0.0128360049899468,-0.0415525383797834,-0.0571816804701341,-0.026446540963013,20260973,20260974
R02,ComPlat OOF,Molecular weight,<250 Da,0,8270,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.4751954628537509,0.4873317657427043,0.5409117779584667,-0.0121363028889533,-0.0154804380445224,-0.0087766222643302,-0.0657163151047157,-0.0714496038306061,-0.0599216581414453,20261823,20261824
R02,ComPlat OOF,Molecular weight,250--<400 Da,1,7204,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5308146113398469,0.555902747293603,0.5812982244504372,-0.0250881359537561,-0.0291299233959601,-0.0210799046259923,-0.0504836131105903,-0.0577818102039989,-0.0433947937767432,20261833,20261834
R02,ComPlat OOF,Molecular weight,>=400 Da,2,2463,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.8859077007673348,0.9390296491683516,0.9311357763736702,-0.0531219484010168,-0.0647094749140669,-0.0415496106499139,-0.0452280756063353,-0.0654118740646204,-0.0249472188354841,20261843,20261844
