representation,predictor,split,group,trial,model_detail,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,val_rmse,external_rmse,n,rmse,mae,r2,bias,params,hidden,depth,dropout,lr,weight_decay,batch_size,max_epochs,best_epoch,device,method,k,weights,metric
mordred__ecfp,xgb,Train,all,4,XGBRegressor,800.0,6.0,0.0449524284698616,0.7,0.45,1.0,0.0001,1.0,0.8465156792316898,1.2906085828425091,6437,0.3060040396122976,0.2388393580913543,0.9824270009994508,0.0001626341399969,,,,,,,,,,,,,,
mordred__ecfp,xgb,Train,not_all6_bad,4,XGBRegressor,800.0,6.0,0.0449524284698616,0.7,0.45,1.0,0.0001,1.0,0.8465156792316898,1.2906085828425091,6437,0.3060040396122976,0.2388393580913543,0.9824270009994508,0.0001626341399969,,,,,,,,,,,,,,
mordred__ecfp,xgb,Val,all,4,XGBRegressor,800.0,6.0,0.0449524284698616,0.7,0.45,1.0,0.0001,1.0,0.8465156792316898,1.2906085828425091,1610,0.8465156792316898,0.5908394455909729,0.8649429678916931,-0.0382773838937282,,,,,,,,,,,,,,
mordred__ecfp,xgb,Val,all6_bad,4,XGBRegressor,800.0,6.0,0.0449524284698616,0.7,0.45,1.0,0.0001,1.0,0.8465156792316898,1.2906085828425091,74,2.3337618797584243,2.16548490524292,0.4731876850128174,-0.2893301844596863,,,,,,,,,,,,,,
mordred__ecfp,xgb,Val,not_all6_bad,4,XGBRegressor,800.0,6.0,0.0449524284698616,0.7,0.45,1.0,0.0001,1.0,0.8465156792316898,1.2906085828425091,1536,0.6990838160396262,0.5149776339530945,0.9034075140953064,-0.026182398200035,,,,,,,,,,,,,,
mordred__ecfp,xgb,External,all,4,XGBRegressor,800.0,6.0,0.0449524284698616,0.7,0.45,1.0,0.0001,1.0,0.8465156792316898,1.2906085828425091,2251,1.2906085828425091,0.8863901495933533,0.5822324752807617,-0.0988624840974807,,,,,,,,,,,,,,
mordred__ecfp,xgb,External,all6_bad,4,XGBRegressor,800.0,6.0,0.0449524284698616,0.7,0.45,1.0,0.0001,1.0,0.8465156792316898,1.2906085828425091,256,2.9879059200566163,2.751596450805664,-0.1715290546417236,-0.7635664343833923,,,,,,,,,,,,,,
mordred__ecfp,xgb,External,not_all6_bad,4,XGBRegressor,800.0,6.0,0.0449524284698616,0.7,0.45,1.0,0.0001,1.0,0.8465156792316898,1.2906085828425091,1995,0.8566307989236205,0.647045373916626,0.7903666496276855,-0.0135671496391296,,,,,,,,,,,,,,
mordred__ecfp,rf,Train,all,2,ExtraTreesRegressor,,,,,,,,,0.8648966701775307,1.2891882036875957,6437,0.0,0.0,1.0,0.0,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.4, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 250, 'n_jobs': -1, 'oob_score': False, 'random_state': 260745, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,rf,Train,not_all6_bad,2,ExtraTreesRegressor,,,,,,,,,0.8648966701775307,1.2891882036875957,6437,0.0,0.0,1.0,0.0,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.4, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 250, 'n_jobs': -1, 'oob_score': False, 'random_state': 260745, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,rf,Val,all,2,ExtraTreesRegressor,,,,,,,,,0.8648966701775307,1.2891882036875957,1610,0.8648966701775307,0.602010181043087,0.8590141336746807,-0.0323954845367728,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.4, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 250, 'n_jobs': -1, 'oob_score': False, 'random_state': 260745, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,rf,Val,all6_bad,2,ExtraTreesRegressor,,,,,,,,,0.8648966701775307,1.2891882036875957,74,2.330851972330435,2.1774105057976643,0.4745006216511179,-0.3091624452541204,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.4, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 250, 'n_jobs': -1, 'oob_score': False, 'random_state': 260745, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,rf,Val,not_all6_bad,2,ExtraTreesRegressor,,,,,,,,,0.8648966701775307,1.2891882036875957,1536,0.7227344337363036,0.5261119883140254,0.8967613601031024,-0.0190616596063798,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.4, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 250, 'n_jobs': -1, 'oob_score': False, 'random_state': 260745, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,rf,External,all,2,ExtraTreesRegressor,,,,,,,,,0.8648966701775307,1.2891882036875957,2251,1.2891882036875957,0.8656738999119711,0.583151454881432,-0.1257167991804915,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.4, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 250, 'n_jobs': -1, 'oob_score': False, 'random_state': 260745, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,rf,External,all6_bad,2,ExtraTreesRegressor,,,,,,,,,0.8648966701775307,1.2891882036875957,256,3.005751085318493,2.7741367370782752,-0.1855646944258098,-0.8617914350270368,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.4, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 250, 'n_jobs': -1, 'oob_score': False, 'random_state': 260745, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,rf,External,not_all6_bad,2,ExtraTreesRegressor,,,,,,,,,0.8648966701775307,1.2891882036875957,1995,0.8461423229337528,0.6207784180500292,0.7954686852098322,-0.0312631115731152,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 0.4, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 250, 'n_jobs': -1, 'oob_score': False, 'random_state': 260745, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,mlp,Train,all,6,TorchMLP,,,,,,,,,1.0036766294311976,1.379854735178563,6437,0.2929193327869686,0.2071252316236496,0.9838977456092834,0.0272052623331546,,384.0,3.0,0.05,0.0003874212943983,5.754613878998905e-05,256.0,220.0,27.0,cuda:0,,,,
mordred__ecfp,mlp,Train,not_all6_bad,6,TorchMLP,,,,,,,,,1.0036766294311976,1.379854735178563,6437,0.2929193327869686,0.2071252316236496,0.9838977456092834,0.0272052623331546,,384.0,3.0,0.05,0.0003874212943983,5.754613878998905e-05,256.0,220.0,27.0,cuda:0,,,,
mordred__ecfp,mlp,Val,all,6,TorchMLP,,,,,,,,,1.0036766294311976,1.379854735178563,1610,1.0036766294311976,0.7197136878967285,0.8101394176483154,0.006250686943531,,384.0,3.0,0.05,0.0003874212943983,5.754613878998905e-05,256.0,220.0,27.0,cuda:0,,,,
mordred__ecfp,mlp,Val,all6_bad,6,TorchMLP,,,,,,,,,1.0036766294311976,1.379854735178563,74,2.412206040889462,2.2182984352111816,0.4371772408485412,-0.2627445757389068,,384.0,3.0,0.05,0.0003874212943983,5.754613878998905e-05,256.0,220.0,27.0,cuda:0,,,,
mordred__ecfp,mlp,Val,not_all6_bad,6,TorchMLP,,,,,,,,,1.0036766294311976,1.379854735178563,1536,0.880663932551554,0.6475161910057068,0.8467130661010742,0.019210098311305,,384.0,3.0,0.05,0.0003874212943983,5.754613878998905e-05,256.0,220.0,27.0,cuda:0,,,,
mordred__ecfp,mlp,External,all,6,TorchMLP,,,,,,,,,1.0036766294311976,1.379854735178563,2251,1.379854735178563,1.0031063556671145,0.5224571228027344,-0.0324480421841144,,384.0,3.0,0.05,0.0003874212943983,5.754613878998905e-05,256.0,220.0,27.0,cuda:0,,,,
mordred__ecfp,mlp,External,all6_bad,6,TorchMLP,,,,,,,,,1.0036766294311976,1.379854735178563,256,2.912894252566636,2.687938690185547,-0.1134446859359741,-0.6548666954040527,,384.0,3.0,0.05,0.0003874212943983,5.754613878998905e-05,256.0,220.0,27.0,cuda:0,,,,
mordred__ecfp,mlp,External,not_all6_bad,6,TorchMLP,,,,,,,,,1.0036766294311976,1.379854735178563,1995,1.0293326615947382,0.7869073152542114,0.6973194479942322,0.0474212281405925,,384.0,3.0,0.05,0.0003874212943983,5.754613878998905e-05,256.0,220.0,27.0,cuda:0,,,,
mordred__ecfp,ridge,Train,all,12,elastic_alpha_0.1_l1_0.15,,,,,,,,,1.072701120792535,1.415104434739098,6437,0.9489928239625438,0.7049505114555359,0.8309882879257202,3.555722116743709e-08,"{'alpha': 0.1, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.15, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260817, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,ridge,Train,not_all6_bad,12,elastic_alpha_0.1_l1_0.15,,,,,,,,,1.072701120792535,1.415104434739098,6437,0.9489928239625438,0.7049505114555359,0.8309882879257202,3.555722116743709e-08,"{'alpha': 0.1, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.15, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260817, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,ridge,Val,all,12,elastic_alpha_0.1_l1_0.15,,,,,,,,,1.072701120792535,1.415104434739098,1610,1.072701120792535,0.7908264398574829,0.7831274271011353,-0.0235841497778892,"{'alpha': 0.1, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.15, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260817, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,ridge,Val,all6_bad,12,elastic_alpha_0.1_l1_0.15,,,,,,,,,1.072701120792535,1.415104434739098,74,2.4601160040695245,2.277311086654663,0.414598286151886,-0.2441607862710952,"{'alpha': 0.1, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.15, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260817, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,ridge,Val,not_all6_bad,12,elastic_alpha_0.1_l1_0.15,,,,,,,,,1.072701120792535,1.415104434739098,1536,0.9563203312060992,0.719211995601654,0.8192445039749146,-0.0129574164748191,"{'alpha': 0.1, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.15, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260817, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,ridge,External,all,12,elastic_alpha_0.1_l1_0.15,,,,,,,,,1.072701120792535,1.415104434739098,2251,1.415104434739098,1.0421901941299438,0.4977469444274902,-0.0958800315856933,"{'alpha': 0.1, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.15, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260817, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,ridge,External,all6_bad,12,elastic_alpha_0.1_l1_0.15,,,,,,,,,1.072701120792535,1.415104434739098,256,3.0407468545927694,2.782951831817627,-0.2133322954177856,-0.7876872420310974,"{'alpha': 0.1, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.15, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260817, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred__ecfp,ridge,External,not_all6_bad,12,elastic_alpha_0.1_l1_0.15,,,,,,,,,1.072701120792535,1.415104434739098,1995,1.0358636706066304,0.8188140988349915,0.693466305732727,-0.007106798235327,"{'alpha': 0.1, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.15, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260817, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
