representation,predictor,split,group,trial,model_detail,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,val_rmse,external_rmse,n,rmse,mae,r2,bias,params,hidden,depth,dropout,lr,weight_decay,batch_size,max_epochs,best_epoch,device,method,k,weights,metric
mordred,xgb,Train,all,10,XGBRegressor,500.0,6.0,0.0286940788306809,1.0,0.45,10.0,0.01,2.0,0.8386208791024566,1.2755410542357917,6437,0.4228614295002086,0.3056217133998871,0.9664427042007446,-2.889202005462721e-05,,,,,,,,,,,,,,
mordred,xgb,Train,not_all6_bad,10,XGBRegressor,500.0,6.0,0.0286940788306809,1.0,0.45,10.0,0.01,2.0,0.8386208791024566,1.2755410542357917,6437,0.4228614295002086,0.3056217133998871,0.9664427042007446,-2.889202005462721e-05,,,,,,,,,,,,,,
mordred,xgb,Val,all,10,XGBRegressor,500.0,6.0,0.0286940788306809,1.0,0.45,10.0,0.01,2.0,0.8386208791024566,1.2755410542357917,1610,0.8386208791024566,0.5899549126625061,0.8674503564834595,-0.0231831986457109,,,,,,,,,,,,,,
mordred,xgb,Val,all6_bad,10,XGBRegressor,500.0,6.0,0.0286940788306809,1.0,0.45,10.0,0.01,2.0,0.8386208791024566,1.2755410542357917,74,2.340608347692193,2.205232858657837,0.4700921773910522,-0.2415724247694015,,,,,,,,,,,,,,
mordred,xgb,Val,not_all6_bad,10,XGBRegressor,500.0,6.0,0.0286940788306809,1.0,0.45,10.0,0.01,2.0,0.8386208791024566,1.2755410542357917,1536,0.6879182540309929,0.5121355056762695,0.906468391418457,-0.0126618398353457,,,,,,,,,,,,,,
mordred,xgb,External,all,10,XGBRegressor,500.0,6.0,0.0286940788306809,1.0,0.45,10.0,0.01,2.0,0.8386208791024566,1.2755410542357917,2251,1.2755410542357917,0.8758552074432373,0.5919301509857178,-0.0939651280641555,,,,,,,,,,,,,,
mordred,xgb,External,all6_bad,10,XGBRegressor,500.0,6.0,0.0286940788306809,1.0,0.45,10.0,0.01,2.0,0.8386208791024566,1.2755410542357917,256,2.963330914468139,2.7210822105407715,-0.1523370742797851,-0.7815945744514465,,,,,,,,,,,,,,
mordred,xgb,External,not_all6_bad,10,XGBRegressor,500.0,6.0,0.0286940788306809,1.0,0.45,10.0,0.01,2.0,0.8386208791024566,1.2755410542357917,1995,0.8419953928660572,0.6390742659568787,0.7974686026573181,-0.0057279886677861,,,,,,,,,,,,,,
mordred,rf,Train,all,6,ExtraTreesRegressor,,,,,,,,,0.8997460724631147,1.2891881204981903,6437,0.4712927810733144,0.3276158218869908,0.958315691047758,-1.6392045403196347e-16,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 14, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 400, 'n_jobs': -1, 'oob_score': False, 'random_state': 260746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred,rf,Train,not_all6_bad,6,ExtraTreesRegressor,,,,,,,,,0.8997460724631147,1.2891881204981903,6437,0.4712927810733144,0.3276158218869908,0.958315691047758,-1.6392045403196347e-16,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 14, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 400, 'n_jobs': -1, 'oob_score': False, 'random_state': 260746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred,rf,Val,all,6,ExtraTreesRegressor,,,,,,,,,0.8997460724631147,1.2891881204981903,1610,0.8997460724631147,0.6391451663881399,0.8474237114984123,-0.0258857955219722,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 14, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 400, 'n_jobs': -1, 'oob_score': False, 'random_state': 260746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred,rf,Val,all6_bad,6,ExtraTreesRegressor,,,,,,,,,0.8997460724631147,1.2891881204981903,74,2.373556991948288,2.230283747168873,0.4550682049519363,-0.2374037877235744,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 14, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 400, 'n_jobs': -1, 'oob_score': False, 'random_state': 260746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred,rf,Val,not_all6_bad,6,ExtraTreesRegressor,,,,,,,,,0.8997460724631147,1.2891881204981903,1536,0.7596878792384045,0.5624887503869848,0.8859342722141809,-0.0156954755851762,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 14, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 400, 'n_jobs': -1, 'oob_score': False, 'random_state': 260746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred,rf,External,all,6,ExtraTreesRegressor,,,,,,,,,0.8997460724631147,1.2891881204981903,2251,1.2891881204981903,0.892319935913139,0.5831515086786687,-0.0876398124243632,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 14, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 400, 'n_jobs': -1, 'oob_score': False, 'random_state': 260746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred,rf,External,all6_bad,6,ExtraTreesRegressor,,,,,,,,,0.8997460724631147,1.2891881204981903,256,2.9820949094646245,2.750181726648272,-0.166976620354315,-0.8035800584098258,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 14, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 400, 'n_jobs': -1, 'oob_score': False, 'random_state': 260746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred,rf,External,not_all6_bad,6,ExtraTreesRegressor,,,,,,,,,0.8997460724631147,1.2891881204981903,1995,0.8568157158579758,0.6539176209115377,0.7902761503856017,0.0042302141281572,"{'bootstrap': False, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 14, 'max_features': 0.7, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 400, 'n_jobs': -1, 'oob_score': False, 'random_state': 260746, 'verbose': 0, 'warm_start': False}",,,,,,,,,,,,,
mordred,mlp,Train,all,1,TorchMLP,,,,,,,,,0.868847160943769,5.229337266466943,6437,0.4712152346579763,0.3407899439334869,0.958329439163208,0.0050061354413628,,256.0,3.0,0.05,0.0003700227105966,0.0002342359612564,256.0,220.0,49.0,cuda:0,,,,
mordred,mlp,Train,not_all6_bad,1,TorchMLP,,,,,,,,,0.868847160943769,5.229337266466943,6437,0.4712152346579763,0.3407899439334869,0.958329439163208,0.0050061354413628,,256.0,3.0,0.05,0.0003700227105966,0.0002342359612564,256.0,220.0,49.0,cuda:0,,,,
mordred,mlp,Val,all,1,TorchMLP,,,,,,,,,0.868847160943769,5.229337266466943,1610,0.868847160943769,0.6015864014625549,0.8577232360839844,-0.0180576629936695,,256.0,3.0,0.05,0.0003700227105966,0.0002342359612564,256.0,220.0,49.0,cuda:0,,,,
mordred,mlp,Val,all6_bad,1,TorchMLP,,,,,,,,,0.868847160943769,5.229337266466943,74,2.2175135861295616,2.031594753265381,0.5243632197380066,-0.3415837287902832,,256.0,3.0,0.05,0.0003700227105966,0.0002342359612564,256.0,220.0,49.0,cuda:0,,,,
mordred,mlp,Val,not_all6_bad,1,TorchMLP,,,,,,,,,0.868847160943769,5.229337266466943,1536,0.7445533789181137,0.5326927304267883,0.8904338479042053,-0.0024711217265576,,256.0,3.0,0.05,0.0003700227105966,0.0002342359612564,256.0,220.0,49.0,cuda:0,,,,
mordred,mlp,External,all,1,TorchMLP,,,,,,,,,0.868847160943769,5.229337266466943,2251,5.229337266466943,1.2476882934570312,-5.858654499053955,-0.4066727459430694,,256.0,3.0,0.05,0.0003700227105966,0.0002342359612564,256.0,220.0,49.0,cuda:0,,,,
mordred,mlp,External,all6_bad,1,TorchMLP,,,,,,,,,0.868847160943769,5.229337266466943,256,3.44429897356654,2.8034002780914307,-0.5567572116851807,-0.8692038059234619,,256.0,3.0,0.05,0.0003700227105966,0.0002342359612564,256.0,220.0,49.0,cuda:0,,,,
mordred,mlp,External,not_all6_bad,1,TorchMLP,,,,,,,,,0.868847160943769,5.229337266466943,1995,5.415969666851078,1.048058271408081,-7.379641532897949,-0.347320407629013,,256.0,3.0,0.05,0.0003700227105966,0.0002342359612564,256.0,220.0,49.0,cuda:0,,,,
mordred,ridge,Train,all,11,elastic_alpha_0.01_l1_0.5,,,,,,,,,1.0789797062490063,2.373338318812388,6437,1.03759765625,0.7660379409790039,0.7979545593261719,2.3704813667535522e-09,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260814, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
