model_id,variant,model_display_name,evidence_type,permitted_interpretation,evaluation_id,evaluation,n,dlg_sol_rmse,comparator_rmse,delta_rmse_dlg_minus_comparator,delta_rmse_ci95_low,delta_rmse_ci95_high,point_estimate_preference,inference,dlg_sol_mae,comparator_mae,dlg_sol_bias,comparator_bias,bootstrap_replicates,bootstrap_seed,delta_rmse_ci99_low,delta_rmse_ci99_high,significance_tier,main_table3_comparison
ali_xgb125,none,Ali XGB-125D,schema-and-setting adaptation,paired implementation comparison; not source-study replication,R01,AqSolDBc development OOF,8047,0.8070198189303897,0.8456582105763505,-0.0386383916459608,-0.0510150345149365,-0.0265352345510368,DLG-Sol lower,resolved,0.543065180962816,0.5719308146551364,0.0323882582974922,-1.4855669283541104e-05,10000,20260822,-0.05513907565320196,-0.022489111038549413,***,True
ali_xgb125,none,Ali XGB-125D,same-split reproduction,paired but not independent evidence,R02,ComPlat OOF,17937,0.8792137384771159,0.92728218488739,-0.048068446410274,-0.0558358617264098,-0.0401816074767823,DLG-Sol lower,resolved,0.5539301781168937,0.5974498394961391,0.0103371911646852,-0.0029922775815974,10000,20260822,-0.05826342246259166,-0.03739796590067015,***,True
ali_xgb125,none,Ali XGB-125D,schema-and-setting adaptation,paired implementation comparison; not source-study replication,R03,TDC OOF,7985,0.986333653510055,0.9796917049880016,0.0066419485220532,-0.0149175493872728,0.0286908591111033,comparator lower,inconclusive,0.641444894329577,0.6336052050551656,0.0249672395955828,-0.0047025703288694,10000,20260822,-0.02126259295081798,0.0353811309736942,,True
ali_xgb125,none,Ali XGB-125D,schema-and-setting adaptation,paired implementation comparison; not source-study replication,R04,TDC supplied test,1997,1.0015496104499495,1.0373680138987806,-0.0358184034488311,-0.06328521869801,-0.0089368932074775,DLG-Sol lower,resolved,0.7090989486914638,0.7519118726132478,0.0254969479425376,0.0216388329468761,10000,20260822,-0.07214579645814483,-0.00031107956192060875,***,True
ali_xgb125,none,Ali XGB-125D,schema-and-setting adaptation,paired implementation comparison; not source-study replication,R05,JCheM supplied test,980,0.6143625076600107,0.6582663604503748,-0.0439038527903641,-0.0653893717550187,-0.0235316917335157,DLG-Sol lower,resolved,0.4192679746296734,0.4477616031231282,0.0084967549332478,-0.0239295692219759,10000,20260822,-0.07294492041619063,-0.017772470905046533,***,True
ali_xgb125,none,Ali XGB-125D,same-split reproduction,paired but not independent evidence,R09,ComPlat supplied test,1282,0.5599356767828995,0.554278261553502,0.0056574152293974,-0.00931318785221,0.0205580832901797,comparator lower,inconclusive,0.4091726386110643,0.4081768680588142,0.0187641687954235,-0.0095620051639625,10000,20260822,-0.013974756340739197,0.02567004881435736,,True
bhattacharya_roy,interaction,Bhattacharya--Roy interaction-augmented MLP-GNN,prespecified architecture sensitivity,sensitivity analysis only; source-domain performance not reproduced,R01,AqSolDBc development OOF,8047,0.8070198189303897,1.026509089099214,-0.2194892701688242,-0.2397579779687978,-0.1994664275839534,DLG-Sol lower,resolved,0.543065180962816,0.7481838866733034,0.0323882582974922,-0.1189919500680754,10000,20260822,-0.24586250506814936,-0.19324911037606565,***,False
bhattacharya_roy,interaction,Bhattacharya--Roy interaction-augmented MLP-GNN,prespecified architecture sensitivity,sensitivity analysis only; source-domain performance not reproduced,R02,ComPlat OOF,17937,0.8792137384771159,1.1806143322342275,-0.3014005937571118,-0.3288131503080187,-0.2790934316438733,DLG-Sol lower,resolved,0.5539301781168937,0.8359751320454049,0.0103371911646852,0.2118115926480187,10000,20260822,-0.33823143089814506,-0.2737114501841811,***,False
bhattacharya_roy,interaction,Bhattacharya--Roy interaction-augmented MLP-GNN,prespecified architecture sensitivity,sensitivity analysis only; source-domain performance not reproduced,R03,TDC OOF,7985,0.986333653510055,1.2297515754414572,-0.2434179219314022,-0.2832891462956199,-0.2060224043223169,DLG-Sol lower,resolved,0.641444894329577,0.8390149695301768,0.0249672395955828,0.0575760123796875,10000,20260822,-0.29659573226954533,-0.19588331220333927,***,False
bhattacharya_roy,interaction,Bhattacharya--Roy interaction-augmented MLP-GNN,prespecified architecture sensitivity,sensitivity analysis only; source-domain performance not reproduced,R04,TDC supplied test,1997,1.0015496104499495,1.067794102892934,-0.0662444924429845,-0.0978150428409849,-0.0343392374256917,DLG-Sol lower,resolved,0.7090989486914638,0.7815695414595755,0.0254969479425376,0.0718983973006499,10000,20260822,-0.10830287044066123,-0.023858781037797986,***,False
bhattacharya_roy,interaction,Bhattacharya--Roy interaction-augmented MLP-GNN,prespecified architecture sensitivity,sensitivity analysis only; source-domain performance not reproduced,R05,JCheM supplied test,980,0.6143625076600107,0.7210247828909261,-0.1066622752309154,-0.1362315166924843,-0.0777226528701645,DLG-Sol lower,resolved,0.4192679746296734,0.52634263681742,0.0084967549332478,-0.0153989820563975,10000,20260822,-0.14622620180360274,-0.06866112507964904,***,False
bhattacharya_roy,interaction,Bhattacharya--Roy interaction-augmented MLP-GNN,prespecified architecture sensitivity,sensitivity analysis only; source-domain performance not reproduced,R09,ComPlat supplied test,1282,0.5599356767828995,0.6641553362930903,-0.1042196595101908,-0.1334287286641869,-0.07476155695912,DLG-Sol lower,resolved,0.4091726386110643,0.5187618957728427,0.0187641687954235,0.1971101074257805,10000,20260822,-0.14284201760059873,-0.06507570260955196,***,False
bhattacharya_roy,no_interaction,Bhattacharya--Roy additive MLP-GNN,independently retrained architecture adaptation,primary additive split-matched architecture adaptation; source-domain performance not reproduced,R01,AqSolDBc development OOF,8047,0.8070198189303897,1.0639130245799802,-0.2568932056495905,-0.2794643591704099,-0.2352806283324863,DLG-Sol lower,resolved,0.543065180962816,0.7580734781351935,0.0323882582974922,-0.085405311047607,10000,20260822,-0.28707300376949635,-0.2288152069894378,***,True
bhattacharya_roy,no_interaction,Bhattacharya--Roy additive MLP-GNN,independently retrained architecture adaptation,primary additive split-matched architecture adaptation; source-domain performance not reproduced,R02,ComPlat OOF,17937,0.8792137384771159,1.162439794685531,-0.283226056208415,-0.3011002282517446,-0.2656898378752166,DLG-Sol lower,resolved,0.5539301781168937,0.8361591439497614,0.0103371911646852,0.2037655922321593,10000,20260822,-0.30551750480713297,-0.26077463041765325,***,True
bhattacharya_roy,no_interaction,Bhattacharya--Roy additive MLP-GNN,independently retrained architecture adaptation,primary additive split-matched architecture adaptation; source-domain performance not reproduced,R03,TDC OOF,7985,0.986333653510055,1.241473914629834,-0.2551402611197789,-0.2871529039568031,-0.2230668590890819,DLG-Sol lower,resolved,0.641444894329577,0.859171329673693,0.0249672395955828,-0.0535421342784988,10000,20260822,-0.29723096715461345,-0.21370915641878369,***,True
bhattacharya_roy,no_interaction,Bhattacharya--Roy additive MLP-GNN,independently retrained architecture adaptation,primary additive split-matched architecture adaptation; source-domain performance not reproduced,R04,TDC supplied test,1997,1.0015496104499495,1.1113934188133638,-0.1098438083634143,-0.1414883485267855,-0.0786705151746978,DLG-Sol lower,resolved,0.7090989486914638,0.8119762557528799,0.0254969479425376,-0.0432849523279913,10000,20260822,-0.15200371592417825,-0.06820761407661832,***,True
bhattacharya_roy,no_interaction,Bhattacharya--Roy additive MLP-GNN,independently retrained architecture adaptation,primary additive split-matched architecture adaptation; source-domain performance not reproduced,R05,JCheM supplied test,980,0.6143625076600107,0.7178827640927515,-0.1035202564327408,-0.1291551806177079,-0.0785225010262535,DLG-Sol lower,resolved,0.4192679746296734,0.5135730665119327,0.0084967549332478,-0.0273588198082787,10000,20260822,-0.1372729138418093,-0.06964958766617325,***,True
bhattacharya_roy,no_interaction,Bhattacharya--Roy additive MLP-GNN,independently retrained architecture adaptation,primary additive split-matched architecture adaptation; source-domain performance not reproduced,R09,ComPlat supplied test,1282,0.5599356767828995,0.6271244004631632,-0.0671887236802637,-0.0959409746012946,-0.0381027544965418,DLG-Sol lower,resolved,0.4091726386110643,0.4819010963714021,0.0187641687954235,0.1194978005501809,10000,20260822,-0.10417231118090309,-0.027938120382910436,***,True
consensus_gnn_author,released,Ulrich et al. Consensus GNN,authors' released predictions,direct paired released-prediction comparison,R05,JCheM supplied test,980,0.6143625076600107,0.6571010511024981,-0.0427385434424874,-0.0755353083448666,-0.0081884818159997,DLG-Sol lower,resolved,0.4192679746296734,0.474510904132653,0.0084967549332478,0.1228154615865305,10000,20260822,-0.08754774581051185,0.0033068438024238447,**,True
consensus_gnn_retrained,retrained_adaptation,Ulrich et al. Consensus GNN (retrained adaptation),independently retrained official-code adaptation,split-matched adaptation; not the authors' released checkpoints,R01,AqSolDBc development OOF,8047,0.8070198189303897,1.153943499129962,-0.3469236801995723,-0.3993451131858646,-0.2989339915334355,DLG-Sol lower,resolved,0.543065180962816,0.7702754950454047,,,10000,20260822,-0.42041723792896557,-0.2875020950439111,***,True
consensus_gnn_retrained,retrained_adaptation,Ulrich et al. Consensus GNN (retrained adaptation),independently retrained official-code adaptation,split-matched adaptation; not the authors' released checkpoints,R02,ComPlat OOF,17937,0.8792137384771159,1.33061265322308,-0.451398914745964,-0.4732947490973401,-0.4296103835130782,DLG-Sol lower,resolved,0.5539301781168937,0.9623920459795356,,,10000,20260822,-0.4802161426992975,-0.4234142330716684,***,True
consensus_gnn_retrained,retrained_adaptation,Ulrich et al. Consensus GNN (retrained adaptation),independently retrained official-code adaptation,split-matched adaptation; not the authors' released checkpoints,R03,TDC OOF,7985,0.986333653510055,1.6854256994173853,-0.6990920459073303,-0.8580144040807652,-0.5731342130002592,DLG-Sol lower,resolved,0.641444894329577,1.080963676517279,,,10000,20260822,-0.9202568210788766,-0.5491474575990651,***,True
consensus_gnn_retrained,retrained_adaptation,Ulrich et al. Consensus GNN (retrained adaptation),independently retrained official-code adaptation,split-matched adaptation; not the authors' released checkpoints,R04,TDC supplied test,1997,1.0015496104499495,1.799812658315522,-0.7982630478655726,-1.119770086800448,-0.5086941517840201,DLG-Sol lower,resolved,0.7090989486914638,1.1039948937263997,,,10000,20260822,-1.2304484755123322,-0.4593265967647335,***,True
consensus_gnn_retrained,retrained_adaptation,Ulrich et al. Consensus GNN (retrained adaptation),independently retrained official-code adaptation,split-matched adaptation; not the authors' released checkpoints,R05,JCheM supplied test,980,0.6143625076600107,0.8095256288436748,-0.1951631211836642,-0.2509848911827235,-0.141422026212275,DLG-Sol lower,resolved,0.4192679746296734,0.5826347193618573,,,10000,20260822,-0.26951089045654864,-0.1248761304227151,***,True
consensus_gnn_retrained,retrained_adaptation,Ulrich et al. Consensus GNN (retrained adaptation),independently retrained official-code adaptation,split-matched adaptation; not the authors' released checkpoints,R09,ComPlat supplied test,1282,0.5599356767828995,0.8241674504760942,-0.2642317736931947,-0.3045943494415781,-0.2227251655918368,DLG-Sol lower,resolved,0.4091726386110643,0.6290991449765367,,,10000,20260822,-0.31702394251233174,-0.20804761802602403,***,True
pnnl_gnn,none,PNNL GNN,independently retrained architecture adaptation,split-matched architecture comparison; original study population not identifiable,R01,AqSolDBc development OOF,8047,0.8070198189303897,0.9077123385917928,-0.1006925196614032,-0.115029497323384,-0.0863535008172559,DLG-Sol lower,resolved,0.543065180962816,0.6461334077598437,0.0323882582974922,0.0678973786266055,10000,20260822,-0.11918644132307916,-0.08219489967117705,***,True
pnnl_gnn,none,PNNL GNN,independently retrained architecture adaptation,split-matched architecture comparison; original study population not identifiable,R02,ComPlat OOF,17937,0.8792137384771159,1.0318957227849117,-0.1526819843077957,-0.1667660162346814,-0.1385614513316495,DLG-Sol lower,resolved,0.5539301781168937,0.708093605767839,0.0103371911646852,0.0063964665254273,10000,20260822,-0.17195330750726792,-0.13407219223882938,***,True
pnnl_gnn,none,PNNL GNN,independently retrained architecture adaptation,split-matched architecture comparison; original study population not identifiable,R03,TDC OOF,7985,0.986333653510055,1.141101551475595,-0.1547678979655403,-0.1797590371291485,-0.1305328367769914,DLG-Sol lower,resolved,0.641444894329577,0.767253779607294,0.0249672395955828,0.032626322357987,10000,20260822,-0.18817901961307928,-0.122699379305297,***,True
pnnl_gnn,none,PNNL GNN,independently retrained architecture adaptation,split-matched architecture comparison; original study population not identifiable,R04,TDC supplied test,1997,1.0015496104499495,1.1046931119038972,-0.1031435014539476,-0.1312509069283495,-0.0751182602029428,DLG-Sol lower,resolved,0.7090989486914638,0.7821088994749851,0.0254969479425376,0.0565035632096426,10000,20260822,-0.1414171483119984,-0.06562759028236595,***,True
pnnl_gnn,none,PNNL GNN,independently retrained architecture adaptation,split-matched architecture comparison; original study population not identifiable,R05,JCheM supplied test,980,0.6143625076600107,0.6995483543277871,-0.0851858466677764,-0.115541025164185,-0.0565693913151285,DLG-Sol lower,resolved,0.4192679746296734,0.4989438666932437,0.0084967549332478,-0.1665579605126867,10000,20260822,-0.12434858006588377,-0.04924308170496902,***,True
pnnl_gnn,none,PNNL GNN,independently retrained architecture adaptation,split-matched architecture comparison; original study population not identifiable,R09,ComPlat supplied test,1282,0.5599356767828995,0.6156812231514455,-0.055745546368546,-0.0796297876842073,-0.0315347798705297,DLG-Sol lower,resolved,0.4091726386110643,0.4709027917736592,0.0187641687954235,-0.0071240345782683,10000,20260822,-0.08689115592662736,-0.023438355032631326,***,True
