evaluation_id,evaluation,component,n,dlg_sol_rmse,component_rmse,delta_rmse,ci95_low,ci95_high,ci99_low,ci99_high,star
R01,AqSolDBc OOF,descriptor_xgb,8047,0.8070198189303897,0.8506134527729191,-0.043593633842529456,-0.053081141199576694,-0.0342952051192263,-0.05671025889835283,-0.03123914736524331,***
R01,AqSolDBc OOF,neural,8047,0.8070198189303897,0.8566814080835747,-0.04966158915318508,-0.05839238475068752,-0.040994079851732236,-0.061198341176313564,-0.03828304306440582,***
R02,ComPlat OOF,descriptor_xgb,17937,0.8792137384771159,0.901745583952632,-0.02253184547551612,-0.028523306980994652,-0.016495954946046734,-0.0302671192929164,-0.014719444448056817,***
R02,ComPlat OOF,neural,17937,0.8792137384771159,0.9532230604261456,-0.07400932194902965,-0.08465594596949672,-0.06368206833625044,-0.0878432763211407,-0.060427377626651055,***
R03,TDC OOF,descriptor_xgb,7985,0.986333653510055,1.0654370446476142,-0.07910339113755926,-0.09617752874785315,-0.062126676634056265,-0.10087695536079164,-0.05735625346743418,***
R03,TDC OOF,neural,7985,0.986333653510055,1.0606741542735565,-0.07434050076350152,-0.09104342141632202,-0.05781778710847662,-0.09623184892923915,-0.05336406768577763,***
R04,TDC supplied test,descriptor_xgb,1997,1.0015496104499495,1.0908054034039831,-0.08925579295403363,-0.1094588700749505,-0.06914983721052306,-0.11604712370486478,-0.06285467135840345,***
R04,TDC supplied test,neural,1997,1.0015496104499495,1.004857203743041,-0.003307593293091493,-0.021223546233037707,0.01400751805344404,-0.026579993997919504,0.019628177807564755,
R05,JCheM supplied test,descriptor_xgb,980,0.6143625076600107,0.6551119444778806,-0.04074943681786991,-0.05393315326414892,-0.02733038168330023,-0.057594319415067874,-0.02338552680559734,***
R05,JCheM supplied test,neural,980,0.6143625076600107,0.6246505208165751,-0.010288013156564468,-0.024878252022091152,0.003260782463333694,-0.029705109401006076,0.007640864212055016,
R09,ComPlat supplied test,descriptor_xgb,1282,0.5599356767828995,0.56154791266069,-0.0016122358777905799,-0.012189026723208454,0.008855244785338334,-0.01559825387602403,0.012524614798145126,
R09,ComPlat supplied test,neural,1282,0.5599356767828995,0.672280449937194,-0.11234477315429459,-0.13059557635279984,-0.09412811037182235,-0.13585767281535566,-0.08887818823605165,***
