panel,n,fixed_rmse,policy,gate_rmse,delta_rmse,bootstrap_mean_delta_rmse,ci95_low,ci95_high,n_boot,seed
AqSolDBc_oof,8047,0.8070198189303897,cluster_soft,0.8071759519169305,0.00015613298654082453,0.00015366726608995301,-0.00020651406800585302,0.0005255822603281779,10000,260804
AqSolDBc_oof,8047,0.8070198189303897,pca_continuous,0.8066084646562657,-0.0004113542741239762,-0.00041066957372957037,-0.0012579321964261592,0.00038841275725825234,10000,260805
ComPlat_oof,17937,0.8792137384771159,cluster_soft,0.8819080726051224,0.0026943341280064592,0.0026770642754366906,0.00041803059518331643,0.004989096239159718,10000,260814
ComPlat_oof,17937,0.8792137384771159,pca_continuous,0.8810244973383562,0.0018107588612402692,0.0018251668723242255,-0.0007980046996557078,0.004568977942708291,10000,260815
TDC_oof,7985,0.986333653510055,cluster_soft,0.9855093524844439,-0.0008243010256110406,-0.0008201835539480616,-0.001551239295299381,-0.0001104571459763091,10000,260824
TDC_oof,7985,0.986333653510055,pca_continuous,0.9830592879381526,-0.0032743655719024156,-0.00326999382962006,-0.005497046361945979,-0.0009869703948254982,10000,260825
ComPlat_official,1282,0.5599356767828995,cluster_soft,0.5696439710805968,0.009708294297697373,0.009716618399558258,0.006329720236812781,0.013124980888097494,10000,260834
ComPlat_official,1282,0.5599356767828995,pca_continuous,0.5688566986675084,0.00892102188460897,0.008892610290695714,0.0056720769631920355,0.01204112933980829,10000,260835
TDC_official,1997,1.0015496104499495,cluster_soft,1.0029927657403,0.0014431552903504397,0.001444498711983047,0.0008549169922532823,0.00205669776223375,10000,260844
TDC_official,1997,1.0015496104499495,pca_continuous,1.0007314886087009,-0.0008181218412486313,-0.0008086937639501709,-0.002251793876040181,0.0004930425910343009,10000,260845
JCheM_official,980,0.6143625076600107,cluster_soft,0.6148284110087833,0.00046590334877261164,0.00046710453998778564,-0.0002237246546665683,0.0011411588825404688,10000,260854
JCheM_official,980,0.6143625076600107,pca_continuous,0.6137512044153142,-0.0006113032446964928,-0.000618920373181111,-0.0019113501187328268,0.0005913424723529236,10000,260855
Biogen,2153,1.1308948529950231,cluster_soft,1.1179368714660138,-0.012957981529009288,-0.012994224579304612,-0.017176960146377058,-0.008768853897069976,10000,260864
Biogen,2153,1.1308948529950231,pca_continuous,1.1190012649656365,-0.01189358802938667,-0.011918037405354976,-0.01578659172663608,-0.008090497751713678,10000,260865
