evaluation_id,evaluation,candidate_count_in_evaluation,representation,predictor,n,rmse,mae,bias
R01,AqSolDBc development OOF,35,Mordred,XGBoost,8047,0.9129634181144871,0.65496105121956,0.0005263281716913154
R01,AqSolDBc development OOF,35,Mordred,random forest,8047,0.8790364743967394,0.6070652410123285,-0.0037330717544165667
R01,AqSolDBc development OOF,35,Mordred,multilayer perceptron,8047,0.934566625371824,0.6502549545917534,0.026449699322733933
R01,AqSolDBc development OOF,35,Mordred,ridge regression,8047,1.0130078628920993,0.7137163341251026,0.003203983644824167
R01,AqSolDBc development OOF,35,Mordred,k-nearest neighbours,8047,1.0498778738014352,0.7448832639007386,-0.01400646012160383
R01,AqSolDBc development OOF,35,ECFP,XGBoost,8047,1.4830447062780092,1.1349991098053311,0.004834896717671192
R01,AqSolDBc development OOF,35,ECFP,random forest,8047,1.2809474378191186,0.9275470766359116,0.034965070795298
R01,AqSolDBc development OOF,35,ECFP,multilayer perceptron,8047,1.2408443819130752,0.8972787613118902,0.06485836234785883
R01,AqSolDBc development OOF,35,ECFP,ridge regression,8047,1.3557378934656268,1.0170373712692555,0.004880633405530016
R01,AqSolDBc development OOF,35,ECFP,k-nearest neighbours,8047,1.3730672285458396,0.9967123863087876,0.010107174773111523
R01,AqSolDBc development OOF,35,ChemBERTa,XGBoost,8047,0.9070901046697795,0.6420767928774078,0.00700832481629179
R01,AqSolDBc development OOF,35,ChemBERTa,random forest,8047,0.891866480869482,0.627882799357768,0.00509640892287306
R01,AqSolDBc development OOF,35,ChemBERTa,multilayer perceptron,8047,0.9236366543760124,0.6557592217056036,0.021667230519809746
R01,AqSolDBc development OOF,35,ChemBERTa,ridge regression,8047,0.8939531754525447,0.6284118859661241,0.00506557796773953
R01,AqSolDBc development OOF,35,ChemBERTa,k-nearest neighbours,8047,0.9198742884424999,0.6549835904855347,0.025708909758920827
R01,AqSolDBc development OOF,35,3D-MPNN,XGBoost,8047,1.1078126125384038,0.8060422427552181,-0.004750295500936991
R01,AqSolDBc development OOF,35,3D-MPNN,random forest,8047,1.099221335209815,0.7893189350664311,-0.02690655849229462
R01,AqSolDBc development OOF,35,3D-MPNN,multilayer perceptron,8047,1.0427729353467035,0.7425748629465515,-0.015069158742177206
R01,AqSolDBc development OOF,35,3D-MPNN,ridge regression,8047,1.0917515511910354,0.7959056053758667,-0.004886513779048092
R01,AqSolDBc development OOF,35,3D-MPNN,k-nearest neighbours,8047,1.14325584651791,0.8199153860152635,-0.12113723668112057
R01,AqSolDBc development OOF,35,atom-level 2D GNN,XGBoost,8047,0.925004296416681,0.6505729101973158,-0.0015593938378277595
R01,AqSolDBc development OOF,35,atom-level 2D GNN,random forest,8047,0.9171849401014475,0.6355782552723582,-0.007289059287609599
R01,AqSolDBc development OOF,35,atom-level 2D GNN,multilayer perceptron,8047,0.9776230478956863,0.6543865614238573,0.009337158350100664
R01,AqSolDBc development OOF,35,atom-level 2D GNN,ridge regression,8047,0.9542666403997775,0.6519989382826878,-0.008379195014886293
R01,AqSolDBc development OOF,35,atom-level 2D GNN,k-nearest neighbours,8047,0.9219735013538941,0.6464217880502575,0.007243853280632
R01,AqSolDBc development OOF,35,BRICS-subgroup GNN,XGBoost,8047,1.0022345746946548,0.7111101641798062,0.0014337331916117815
R01,AqSolDBc development OOF,35,BRICS-subgroup GNN,random forest,8047,0.9950110335278144,0.6943578119919224,-0.0027963922946680356
R01,AqSolDBc development OOF,35,BRICS-subgroup GNN,multilayer perceptron,8047,1.0143982629772317,0.7192870590065118,0.0014605754215235532
R01,AqSolDBc development OOF,35,BRICS-subgroup GNN,ridge regression,8047,1.009929239214083,0.7196740311270162,0.0015865469697899863
R01,AqSolDBc development OOF,35,BRICS-subgroup GNN,k-nearest neighbours,8047,1.0062692765141323,0.7015579877848583,0.01347854384101236
R01,AqSolDBc development OOF,35,Murcko-subgroup GNN,XGBoost,8047,0.9912898949613418,0.7151349938347583,0.005556714665751209
R01,AqSolDBc development OOF,35,Murcko-subgroup GNN,random forest,8047,0.9756460623251623,0.6929390928881448,0.0039356198334747705
R01,AqSolDBc development OOF,35,Murcko-subgroup GNN,multilayer perceptron,8047,0.9997349224746414,0.7183029307026123,0.005578548383631168
R01,AqSolDBc development OOF,35,Murcko-subgroup GNN,ridge regression,8047,0.9936220555758983,0.7171363017340002,0.004039864591437806
R01,AqSolDBc development OOF,35,Murcko-subgroup GNN,k-nearest neighbours,8047,0.9866385320126567,0.69474745356326,0.01379319166866608
R02,ComPlat OOF after global preselection,35,Mordred,XGBoost,17937,1.0150626968491487,0.7098210206934431,0.00047020616182806086
R02,ComPlat OOF after global preselection,35,Mordred,random forest,17937,0.9504379383191723,0.6268767186636218,-0.0008591666639690292
R02,ComPlat OOF after global preselection,35,Mordred,multilayer perceptron,17937,0.9914630999912281,0.6657566041605429,0.004132577967603279
R02,ComPlat OOF after global preselection,35,Mordred,ridge regression,17937,1.048485323206524,0.7254397654674215,-0.0001348067303640557
R02,ComPlat OOF after global preselection,35,Mordred,k-nearest neighbours,17937,1.075684557147789,0.7491005140987888,0.035389409779418055
R02,ComPlat OOF after global preselection,35,ECFP,XGBoost,17937,1.5697256947760676,1.188331379476462,0.006349757408412777
R02,ComPlat OOF after global preselection,35,ECFP,random forest,17937,1.345235948157794,0.9408775301923152,0.07233416358453192
R02,ComPlat OOF after global preselection,35,ECFP,multilayer perceptron,17937,1.2533550957820045,0.8796946975306534,0.021390134733613765
R02,ComPlat OOF after global preselection,35,ECFP,ridge regression,17937,1.3760162540886367,1.004154544935178,0.004098348252816518
R02,ComPlat OOF after global preselection,35,ECFP,k-nearest neighbours,17937,1.3967231199552443,0.9990085356427639,0.04091130664148626
R02,ComPlat OOF after global preselection,35,ChemBERTa,XGBoost,17937,1.0078817557425863,0.6878133424195919,0.0018796741388604587
R02,ComPlat OOF after global preselection,35,ChemBERTa,random forest,17937,0.975821865349976,0.6531751028313447,0.0005290681034921565
R02,ComPlat OOF after global preselection,35,ChemBERTa,multilayer perceptron,17937,1.0127040412735857,0.6920051293255489,0.005852327266962702
R02,ComPlat OOF after global preselection,35,ChemBERTa,ridge regression,17937,0.9910818815317055,0.6666894047316312,0.0030131540511495717
R02,ComPlat OOF after global preselection,35,ChemBERTa,k-nearest neighbours,17937,1.0171509911793022,0.699400451268682,0.013149093648036493
R02,ComPlat OOF after global preselection,35,3D-MPNN,XGBoost,17937,1.3958091277938822,1.0115452714586999,-0.009306246962317945
R02,ComPlat OOF after global preselection,35,3D-MPNN,random forest,17937,1.3514878718480738,0.9630123045549832,-0.05534892006717377
R02,ComPlat OOF after global preselection,35,3D-MPNN,multilayer perceptron,17937,1.283572922160637,0.9093069079331791,-0.0067672890768040355
R02,ComPlat OOF after global preselection,35,3D-MPNN,ridge regression,17937,1.3593850055902539,0.992250341470436,-0.010209954902566206
R02,ComPlat OOF after global preselection,35,3D-MPNN,k-nearest neighbours,17937,1.4006183019631593,1.0067476884477828,-0.2322985872994976
R02,ComPlat OOF after global preselection,35,atom-level 2D GNN,XGBoost,17937,1.1114998752204093,0.7685656108429422,0.0010464804946560156
R02,ComPlat OOF after global preselection,35,atom-level 2D GNN,random forest,17937,1.090037744793342,0.740275832968219,-0.005900715691003057
R02,ComPlat OOF after global preselection,35,atom-level 2D GNN,multilayer perceptron,17937,1.096254384693879,0.7465839216723622,0.007827146921315607
R02,ComPlat OOF after global preselection,35,atom-level 2D GNN,ridge regression,17937,1.1131064367421273,0.7662815510250945,-0.0024147423896459857
R02,ComPlat OOF after global preselection,35,atom-level 2D GNN,k-nearest neighbours,17937,1.105131472505043,0.7582157066934186,-0.010022484665119522
