evaluation_id,evaluation,n,configuration_id,representation_1,representation_2,predictor,rmse,mae,bias,dlg_sol_rmse,dlg_sol_lower_point_estimate
R01,AqSolDBc development OOF,8047,chemberta__atom_gnn__rf,ChemBERTa,atom-level 2D GNN,random forest,0.847589063119349,0.5826486882832822,0.004164682158987612,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__atom_gnn__rf,Mordred,atom-level 2D GNN,random forest,0.8575383615914297,0.5841551415746304,-0.0028677713736235317,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__three_d_gnn__ridge,ChemBERTa,3D-MPNN,ridge regression,0.8584736644655119,0.6009804647361177,0.004204898139346138,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__murcko_gnn__rf,atom-level 2D GNN,Murcko-subgroup GNN,random forest,0.8634060240150595,0.5945618668807691,0.005314101178674162,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__three_d_gnn__rf,ChemBERTa,3D-MPNN,random forest,0.8652965970060776,0.6006643578378814,0.009247543274196739,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__brics_gnn__rf,atom-level 2D GNN,BRICS-subgroup GNN,random forest,0.8666522901214145,0.5959824419168177,0.0008190970579142688,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__brics_gnn__rf,ChemBERTa,BRICS-subgroup GNN,random forest,0.868047931923674,0.5977005845293671,0.008212969825686457,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__atom_gnn__xgb,ChemBERTa,atom-level 2D GNN,XGBoost,0.8682063066430211,0.6065800263700013,0.006598409817149253,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__three_d_gnn__knn,ChemBERTa,3D-MPNN,k-nearest neighbours,0.8702899357853885,0.6155641674053994,0.00020138516446031356,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__murcko_gnn__rf,ChemBERTa,Murcko-subgroup GNN,random forest,0.8711803438524999,0.602514215330156,0.008515278804854563,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__three_d_gnn__xgb,ChemBERTa,3D-MPNN,XGBoost,0.8725851826778458,0.6088933403779794,0.010987095400273398,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__brics_gnn__knn,atom-level 2D GNN,BRICS-subgroup GNN,k-nearest neighbours,0.8743935801559954,0.6081719580624159,0.025588381487448505,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__murcko_gnn__knn,atom-level 2D GNN,Murcko-subgroup GNN,k-nearest neighbours,0.8756154890911911,0.612274797488314,0.025272898237241024,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__ecfp__rf,Mordred,ECFP,random forest,0.876719696034063,0.6030033405034133,-0.0006459269817619481,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__atom_gnn__ridge,ChemBERTa,atom-level 2D GNN,ridge regression,0.8774445583003415,0.6128884716146555,0.005870754307667947,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__brics_gnn__ridge,ChemBERTa,BRICS-subgroup GNN,ridge regression,0.8777354721949183,0.6155037229817312,0.005653596345866535,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__brics_gnn__xgb,ChemBERTa,BRICS-subgroup GNN,XGBoost,0.8777533094650134,0.6185679482726979,0.007958091558295024,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__murcko_gnn__xgb,atom-level 2D GNN,Murcko-subgroup GNN,XGBoost,0.8782719330401408,0.6155292152606996,0.00011852839072325688,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__atom_gnn__xgb,Mordred,atom-level 2D GNN,XGBoost,0.8792586969443729,0.6159531268563937,-0.00495531240472225,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__chemberta__rf,Mordred,ChemBERTa,random forest,0.8794953953813394,0.6138809511962988,0.008052792777229494,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__three_d_gnn__mlp,ChemBERTa,3D-MPNN,multilayer perceptron,0.8808445819353772,0.6110570418980713,0.01153518667177965,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__three_d_gnn__xgb,Mordred,3D-MPNN,XGBoost,0.8816606619095498,0.605539908153062,-5.698841774450377e-05,0.80702,True
R01,AqSolDBc development OOF,8047,murcko_gnn__three_d_gnn__rf,Murcko-subgroup GNN,3D-MPNN,random forest,0.8823756844136139,0.6071948364786112,-0.0005605497784213162,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__brics_gnn__xgb,atom-level 2D GNN,BRICS-subgroup GNN,XGBoost,0.8824625336812973,0.6152621911957376,-0.0024901793472722708,0.80702,True
R01,AqSolDBc development OOF,8047,murcko_gnn__three_d_gnn__mlp,Murcko-subgroup GNN,3D-MPNN,multilayer perceptron,0.8857969309170107,0.6139722013599187,0.004532580533858756,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__atom_gnn__rf,ECFP,atom-level 2D GNN,random forest,0.8866760316878526,0.6047298682067274,-0.001436835594520035,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__three_d_gnn__rf,Mordred,3D-MPNN,random forest,0.8883631315711986,0.6055654148767442,-0.0020321709883631416,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__chemberta__ridge,ECFP,ChemBERTa,ridge regression,0.889454937814437,0.6244044540522394,0.004920651959801537,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__murcko_gnn__ridge,ChemBERTa,Murcko-subgroup GNN,ridge regression,0.8896306631032181,0.6242150729336642,0.0057231793468859055,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__murcko_gnn__xgb,ChemBERTa,Murcko-subgroup GNN,XGBoost,0.8899058322918192,0.6255512615061887,0.011859145961762149,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__atom_gnn__knn,ChemBERTa,atom-level 2D GNN,k-nearest neighbours,0.8911115200758785,0.6309723657435734,0.02645844159013349,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__three_d_gnn__rf,BRICS-subgroup GNN,3D-MPNN,random forest,0.8911223692747975,0.6137288099689983,3.2452968501651416e-05,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__chemberta__rf,ECFP,ChemBERTa,random forest,0.8912525636148099,0.6234809732170297,0.007969466274601161,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__chemberta__ridge,Mordred,ChemBERTa,ridge regression,0.8916895144272144,0.6270367334040843,0.00519588223063303,0.80702,True
R01,AqSolDBc development OOF,8047,murcko_gnn__three_d_gnn__xgb,Murcko-subgroup GNN,3D-MPNN,XGBoost,0.8926120147600858,0.6238056316233889,0.0017221475763402488,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__brics_gnn__ridge,atom-level 2D GNN,BRICS-subgroup GNN,ridge regression,0.8936602343525062,0.6237196888915207,-0.003086769799298058,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__murcko_gnn__ridge,atom-level 2D GNN,Murcko-subgroup GNN,ridge regression,0.8951015300565583,0.6212339599991101,-0.0015883895934172081,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__ecfp__mlp,Mordred,ECFP,multilayer perceptron,0.8956653579237159,0.6210380259951969,0.018276074708346957,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__brics_gnn__knn,ChemBERTa,BRICS-subgroup GNN,k-nearest neighbours,0.8966515697615266,0.6357107341063335,0.02276460920854333,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__murcko_gnn__knn,ChemBERTa,Murcko-subgroup GNN,k-nearest neighbours,0.8972665316314259,0.6368133926612722,0.021075153263947342,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__three_d_gnn__mlp,Mordred,3D-MPNN,multilayer perceptron,0.899326079052437,0.6215912237371122,0.006267652843698684,0.80702,True
R01,AqSolDBc development OOF,8047,chemberta__atom_gnn__mlp,ChemBERTa,atom-level 2D GNN,multilayer perceptron,0.8997435354000525,0.6304967253108859,0.03377578196840768,0.80702,True
R01,AqSolDBc development OOF,8047,atom_gnn__three_d_gnn__rf,atom-level 2D GNN,3D-MPNN,random forest,0.9003709428003746,0.6224304128105805,-0.013035748245557794,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__three_d_gnn__mlp,BRICS-subgroup GNN,3D-MPNN,multilayer perceptron,0.9005751714382315,0.6233059531481587,0.008443786543960568,0.80702,True
R01,AqSolDBc development OOF,8047,murcko_gnn__three_d_gnn__ridge,Murcko-subgroup GNN,3D-MPNN,ridge regression,0.9008909947373408,0.6341337123808499,5.839881488224441e-05,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__three_d_gnn__xgb,BRICS-subgroup GNN,3D-MPNN,XGBoost,0.9026749555172965,0.6297507205868149,0.00361541573981608,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__chemberta__mlp,ECFP,ChemBERTa,multilayer perceptron,0.9054993635810695,0.6352958652228722,0.01368408724787396,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__ecfp__xgb,Mordred,ECFP,XGBoost,0.9059998575070829,0.646507733796974,-0.0016853233237790449,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__atom_gnn__knn,ECFP,atom-level 2D GNN,k-nearest neighbours,0.9067111282423116,0.6283378266807557,0.038964310968038235,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__murcko_gnn__mlp,Mordred,Murcko-subgroup GNN,multilayer perceptron,0.9070956333169314,0.6361624183551561,0.023119814658687503,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__murcko_gnn__rf,Mordred,Murcko-subgroup GNN,random forest,0.9079577500976853,0.6247333241197712,0.005119116823227149,0.80702,True
