evaluation_id,evaluation,axis,level,level_index,n,sparse_n_lt_100,xgb_evidentiary_status,neural_evidentiary_status,dlg_rmse,xgb_rmse,neural_rmse,delta_rmse_xgb,delta_rmse_xgb_ci_low,delta_rmse_xgb_ci_high,delta_rmse_neural,delta_rmse_neural_ci_low,delta_rmse_neural_ci_high,bootstrap_seed_xgb,bootstrap_seed_neural
R01,AqSolDBc OOF,Molecular weight,<250 Da,0,4708,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6691674702892251,0.6987680097444363,0.7223557321114932,-0.0296005394552112,-0.0387624236369377,-0.0203464216514458,-0.0531882618222681,-0.0620978655845736,-0.0440670177928991,20260823,20260824
R01,AqSolDBc OOF,Molecular weight,250--<400 Da,1,2564,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.8712769791407079,0.9318676092583494,0.909472474974854,-0.0605906301176415,-0.0785140339752383,-0.0432320386431596,-0.0381954958341461,-0.0537518110769358,-0.02245944250121,20260833,20260834
R01,AqSolDBc OOF,Molecular weight,>=400 Da,2,775,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,1.237214874600506,1.29367014933485,1.309176660183889,-0.0564552747343438,-0.0947962588640752,-0.0188262307443279,-0.0719617855833829,-0.1090668572325215,-0.035172657537433,20260843,20260844
R01,AqSolDBc OOF,Rotatable bonds,0,3,1242,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.7606133015818254,0.7843035520702658,0.8332188302072432,-0.0236902504884404,-0.0456076672328858,-0.002187188404224,-0.0726055286254178,-0.0935466163923759,-0.0510114093191627,20260853,20260854
R01,AqSolDBc OOF,Rotatable bonds,1--4,4,4464,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.71397954120486,0.7573957079559906,0.7563492858662592,-0.0434161667511306,-0.0534554502005312,-0.033289285792168,-0.0423697446613992,-0.0538663989975806,-0.0316883662742381,20260863,20260864
R01,AqSolDBc OOF,Rotatable bonds,>=5,5,2341,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.9796567453228706,1.0329043284691926,1.0312834101689667,-0.0532475831463219,-0.0748020400620913,-0.0325358351703984,-0.0516266648460961,-0.0689420789512011,-0.0341780303040189,20260873,20260874
R01,AqSolDBc OOF,H-bond donor,no,6,3854,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.7908846109810707,0.8524383017609488,0.8324991411966166,-0.0615536907798781,-0.0766715881799698,-0.0459088599011932,-0.0416145302155459,-0.055675545736401,-0.0279696514118391,20260883,20260884
R01,AqSolDBc OOF,H-bond donor,yes,7,4193,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.8215710660353236,0.8489326813050121,0.8783215305925545,-0.0273616152696885,-0.038717669806793,-0.0159858938859219,-0.0567504645572308,-0.0674871993934892,-0.0458983115376376,20260893,20260894
R01,AqSolDBc OOF,H-bond acceptor,no,8,856,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.7227042146811083,0.7820033184772412,0.7616538478018174,-0.0592991037961329,-0.1028016773154215,-0.0221942845569704,-0.038949633120709,-0.0637920639385861,-0.0133430202492824,20260903,20260904
R01,AqSolDBc OOF,H-bond acceptor,yes,9,7191,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.8164768349516208,0.8584154821851169,0.8673000739252708,-0.041938647233496,-0.0515174962967075,-0.032327738290346,-0.0508232389736499,-0.0601821780117264,-0.0414538150727887,20260913,20260914
